location_id,work_date,role,regular_hours,overtime_hours,wage_cost,currency,source_granularity
Commerce_01,2025-03-01,BOH,42.36,2.70,974.61,CAD,daily_aggregate
Commerce_01,2025-03-01,FOH,56.01,3.58,1166.22,CAD,daily_aggregate
Commerce_02,2025-03-01,BOH,32.93,2.10,757.68,CAD,daily_aggregate
Commerce_02,2025-03-01,FOH,46.46,2.97,967.38,CAD,daily_aggregate
Commerce_03,2025-03-01,BOH,48.94,3.12,1126.02,CAD,daily_aggregate
Commerce_03,2025-03-01,FOH,69.96,4.47,1456.64,CAD,daily_aggregate
Commerce_01,2025-03-02,BOH,22.82,1.46,525.21,CAD,daily_aggregate
Commerce_01,2025-03-02,FOH,29.93,1.91,623.10,CAD,daily_aggregate
Commerce_02,2025-03-02,BOH,17.47,1.12,402.15,CAD,daily_aggregate
Commerce_02,2025-03-02,FOH,23.60,1.51,491.44,CAD,daily_aggregate
Commerce_03,2025-03-02,BOH,28.51,1.82,656.04,CAD,daily_aggregate
Commerce_03,2025-03-02,FOH,37.21,2.38,774.82,CAD,daily_aggregate
Commerce_01,2025-03-03,BOH,28.34,0.00,595.14,CAD,daily_aggregate
Commerce_01,2025-03-03,FOH,39.72,0.00,754.68,CAD,daily_aggregate
Commerce_02,2025-03-03,BOH,21.07,0.00,442.47,CAD,daily_aggregate
Commerce_02,2025-03-03,FOH,27.04,0.00,513.76,CAD,daily_aggregate
Commerce_03,2025-03-03,BOH,31.14,0.00,653.94,CAD,daily_aggregate
Commerce_03,2025-03-03,FOH,42.61,0.00,809.59,CAD,daily_aggregate
Commerce_01,2025-03-04,BOH,28.41,0.00,596.61,CAD,daily_aggregate
Commerce_01,2025-03-04,FOH,39.04,0.00,741.76,CAD,daily_aggregate
Commerce_02,2025-03-04,BOH,21.34,0.00,448.14,CAD,daily_aggregate
Commerce_02,2025-03-04,FOH,29.89,0.00,567.91,CAD,daily_aggregate
Commerce_03,2025-03-04,BOH,31.43,0.00,660.03,CAD,daily_aggregate
Commerce_03,2025-03-04,FOH,45.27,0.00,860.13,CAD,daily_aggregate
Commerce_01,2025-03-05,BOH,32.24,0.00,677.04,CAD,daily_aggregate
Commerce_01,2025-03-05,FOH,43.70,0.00,830.30,CAD,daily_aggregate
Commerce_02,2025-03-05,BOH,23.92,0.00,502.32,CAD,daily_aggregate
Commerce_02,2025-03-05,FOH,33.08,0.00,628.52,CAD,daily_aggregate
Commerce_03,2025-03-05,BOH,36.58,0.00,768.18,CAD,daily_aggregate
Commerce_03,2025-03-05,FOH,49.23,0.00,935.37,CAD,daily_aggregate
Commerce_01,2025-03-06,BOH,37.01,0.00,777.21,CAD,daily_aggregate
Commerce_01,2025-03-06,FOH,51.24,0.00,973.56,CAD,daily_aggregate
Commerce_02,2025-03-06,BOH,29.77,0.00,625.17,CAD,daily_aggregate
Commerce_02,2025-03-06,FOH,38.33,0.00,728.27,CAD,daily_aggregate
Commerce_03,2025-03-06,BOH,41.30,0.00,867.30,CAD,daily_aggregate
Commerce_03,2025-03-06,FOH,53.62,0.00,1018.78,CAD,daily_aggregate
Commerce_01,2025-03-07,BOH,40.23,2.57,925.78,CAD,daily_aggregate
Commerce_01,2025-03-07,FOH,56.67,3.62,1179.90,CAD,daily_aggregate
Commerce_02,2025-03-07,BOH,31.99,2.04,736.05,CAD,daily_aggregate
Commerce_02,2025-03-07,FOH,44.68,2.85,930.14,CAD,daily_aggregate
Commerce_03,2025-03-07,BOH,45.78,2.92,1053.36,CAD,daily_aggregate
Commerce_03,2025-03-07,FOH,60.24,3.85,1254.28,CAD,daily_aggregate
Commerce_01,2025-03-08,BOH,39.20,2.50,901.95,CAD,daily_aggregate
Commerce_01,2025-03-08,FOH,56.48,3.61,1176.00,CAD,daily_aggregate
Commerce_02,2025-03-08,BOH,33.29,2.12,765.87,CAD,daily_aggregate
Commerce_02,2025-03-08,FOH,43.81,2.80,912.19,CAD,daily_aggregate
Commerce_03,2025-03-08,BOH,47.78,3.05,1099.46,CAD,daily_aggregate
Commerce_03,2025-03-08,FOH,64.93,4.14,1351.66,CAD,daily_aggregate
Commerce_01,2025-03-09,BOH,23.67,1.51,544.64,CAD,daily_aggregate
Commerce_01,2025-03-09,FOH,32.75,2.09,681.82,CAD,daily_aggregate
Commerce_02,2025-03-09,BOH,18.51,1.18,425.88,CAD,daily_aggregate
Commerce_02,2025-03-09,FOH,25.44,1.62,529.53,CAD,daily_aggregate
Commerce_03,2025-03-09,BOH,25.85,1.65,594.82,CAD,daily_aggregate
Commerce_03,2025-03-09,FOH,34.99,2.23,728.36,CAD,daily_aggregate
Commerce_01,2025-03-10,BOH,28.39,0.00,596.19,CAD,daily_aggregate
Commerce_01,2025-03-10,FOH,39.64,0.00,753.16,CAD,daily_aggregate
Commerce_02,2025-03-10,BOH,21.50,0.00,451.50,CAD,daily_aggregate
Commerce_02,2025-03-10,FOH,28.46,0.00,540.74,CAD,daily_aggregate
Commerce_03,2025-03-10,BOH,31.67,0.00,665.07,CAD,daily_aggregate
Commerce_03,2025-03-10,FOH,45.51,0.00,864.69,CAD,daily_aggregate
Commerce_01,2025-03-11,BOH,29.28,0.00,614.88,CAD,daily_aggregate
Commerce_01,2025-03-11,FOH,39.26,0.00,745.94,CAD,daily_aggregate
Commerce_02,2025-03-11,BOH,23.08,0.00,484.68,CAD,daily_aggregate
Commerce_02,2025-03-11,FOH,31.20,0.00,592.80,CAD,daily_aggregate
Commerce_03,2025-03-11,BOH,34.43,0.00,723.03,CAD,daily_aggregate
Commerce_03,2025-03-11,FOH,48.81,0.00,927.39,CAD,daily_aggregate
Commerce_01,2025-03-12,BOH,33.75,0.00,708.75,CAD,daily_aggregate
Commerce_01,2025-03-12,FOH,44.30,0.00,841.70,CAD,daily_aggregate
Commerce_02,2025-03-12,BOH,25.39,0.00,533.19,CAD,daily_aggregate
Commerce_02,2025-03-12,FOH,34.23,0.00,650.37,CAD,daily_aggregate
Commerce_03,2025-03-12,BOH,34.61,0.00,726.81,CAD,daily_aggregate
Commerce_03,2025-03-12,FOH,46.53,0.00,884.07,CAD,daily_aggregate
Commerce_01,2025-03-13,BOH,33.55,0.00,704.55,CAD,daily_aggregate
Commerce_01,2025-03-13,FOH,45.56,0.00,865.64,CAD,daily_aggregate
Commerce_02,2025-03-13,BOH,26.42,0.00,554.82,CAD,daily_aggregate
